127.0.0.1 - - [31/Oct/2019:16:29:03 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:05 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:05 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 200 30916
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:05 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:31 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:31 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:29:31 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:10 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:10 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:10 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:11 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:11 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:11 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:22 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:22 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:32:22 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:04 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:04 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:04 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:31 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:31 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:31 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:46 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:46 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:33:46 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
